CharName,PlainText
Benvolio,"Part, fools!
Put up your swords; you know not what you do."
Tybalt,"What, art thou drawn among these heartless hinds?
Turn thee, Benvolio, look upon thy death."
Benvolio,"I do but keep the peace: put up thy sword,
Or manage it to part these men with me."
Tybalt,"What, drawn, and talk of peace! I hate the word,
As I hate hell, all Montagues, and thee:
Have at thee, coward!
[They fight]
[Enter, several of both houses, who join the fray;]
then enter Citizens, with clubs]"
Benvolio,"Here were the servants of your adversary,
And yours, close fighting ere I did approach:
I drew to part them: in the instant came
The fiery Tybalt, with his sword prepared,
Which, as he breathed defiance to my ears,
He swung about his head and cut the winds,
Who nothing hurt withal hiss'd him in scorn:
While we were interchanging thrusts and blows,
Came more and more and fought on part and part,
Till the prince came, who parted either part."
Benvolio,"Madam, an hour before the worshipp'd sun
Peer'd forth the golden window of the east,
A troubled mind drave me to walk abroad;
Where, underneath the grove of sycamore
That westward rooteth from the city's side,
So early walking did I see your son:
Towards him I made, but he was ware of me
And stole into the covert of the wood:
I, measuring his affections by my own,
That most are busied when they're most alone,
Pursued my humour not pursuing his,
And gladly shunn'd who gladly fled from me."
Benvolio,"My noble uncle, do you know the cause?"
Benvolio,"Have you importuned him by any means?"
Benvolio,"See, where he comes: so please you, step aside;
I'll know his grievance, or be much denied."
Benvolio,"Good-morrow, cousin."
Romeo,"Is the day so young?"
Benvolio,"But new struck nine."
Romeo,"Ay me! sad hours seem long.
Was that my father that went hence so fast?"
Benvolio,"It was. What sadness lengthens Romeo's hours?"
Romeo,"Not having that, which, having, makes them short."
Benvolio,"In love?"
Romeo,Out--
Benvolio,"Of love?"
Romeo,"Out of her favour, where I am in love."
Benvolio,"Alas, that love, so gentle in his view,
Should be so tyrannous and rough in proof!"
Romeo,"Alas, that love, whose view is muffled still,
Should, without eyes, see pathways to his will!
Where shall we dine? O me! What fray was here?
Yet tell me not, for I have heard it all.
Here's much to do with hate, but more with love.
Why, then, O brawling love! O loving hate!
O any thing, of nothing first create!
O heavy lightness! serious vanity!
Mis-shapen chaos of well-seeming forms!
Feather of lead, bright smoke, cold fire,
sick health!
Still-waking sleep, that is not what it is!
This love feel I, that feel no love in this.
Dost thou not laugh?"
Benvolio,"No, coz, I rather weep."
Romeo,"Good heart, at what?"
Benvolio,"At thy good heart's oppression."
Romeo,"Why, such is love's transgression.
Griefs of mine own lie heavy in my breast,
Which thou wilt propagate, to have it prest
With more of thine: this love that thou hast shown
Doth add more grief to too much of mine own.
Love is a smoke raised with the fume of sighs;
Being purged, a fire sparkling in lovers' eyes;
Being vex'd a sea nourish'd with lovers' tears:
What is it else? a madness most discreet,
A choking gall and a preserving sweet.
Farewell, my coz."
Benvolio,"Soft! I will go along;
An if you leave me so, you do me wrong."
Romeo,"Tut, I have lost myself; I am not here;
This is not Romeo, he's some other where."
Benvolio,"Tell me in sadness, who is that you love."
Romeo,"What, shall I groan and tell thee?"
Benvolio,"Groan! why, no.
But sadly tell me who."
Romeo,"Bid a sick man in sadness make his will:
Ah, word ill urged to one that is so ill!
In sadness, cousin, I do love a woman."
Benvolio,"I aim'd so near, when I supposed you loved."
Romeo,"A right good mark-man! And she's fair I love."
Benvolio,"A right fair mark, fair coz, is soonest hit."
Romeo,"Well, in that hit you miss: she'll not be hit
With Cupid's arrow; she hath Dian's wit;
And, in strong proof of chastity well arm'd,
From love's weak childish bow she lives unharm'd.
She will not stay the siege of loving terms,
Nor bide the encounter of assailing eyes,
Nor ope her lap to saint-seducing gold:
O, she is rich in beauty, only poor,
That when she dies with beauty dies her store."
Benvolio,"Then she hath sworn that she will still live chaste?"
Romeo,"She hath, and in that sparing makes huge waste,
For beauty starved with her severity
Cuts beauty off from all posterity.
She is too fair, too wise, wisely too fair,
To merit bliss by making me despair:
She hath forsworn to love, and in that vow
Do I live dead that live to tell it now."
Benvolio,"Be ruled by me, forget to think of her."
Romeo,"O, teach me how I should forget to think."
Benvolio,"By giving liberty unto thine eyes;
Examine other beauties."
Romeo,"'Tis the way
To call hers exquisite, in question more:
These happy masks that kiss fair ladies' brows
Being black put us in mind they hide the fair;
He that is strucken blind cannot forget
The precious treasure of his eyesight lost:
Show me a mistress that is passing fair,
What doth her beauty serve, but as a note
Where I may read who pass'd that passing fair?
Farewell: thou canst not teach me to forget."
Benvolio,"I'll pay that doctrine, or else die in debt."
Benvolio,"Tut, man, one fire burns out another's burning,
One pain is lessen'd by another's anguish;
Turn giddy, and be holp by backward turning;
One desperate grief cures with another's languish:
Take thou some new infection to thy eye,
And the rank poison of the old will die."
